Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
Dental Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Part-time,,"Provides comprehensive patient care before, during, and after dental treatments at the Mainz Ludwigstrasse practice, assists with and digitally documents dental procedures, and independently performs routine tasks including high-quality X-rays, impressions, and scans. Also responsible for instrument reprocessing and hygiene standards.","Completed ZFA qualification (mandatory); minimum German language level B2; ideally some professional experience, though motivated career starters are welcome; careful and responsible working style; empathetic patient manner; team spirit and communication skills.",Modern and family-oriented multi-dentist practice with opportunities for professional growth and development.,On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFA-m-w-d-in-Mainz-Ludwigstrasse-Z010-Berlin-Dental21-Velbert--14070096-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,e und die Einhaltung Ihr Profil Das sind wir: Hygienestandards Was bringst Du : Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) – zwingend erforderlich Idealerwei | Instrumente und die Einhaltung Das sind wir: Hygienestandards Was bringst Du : Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) – zwingend erforderlich Idealerwei,,Medical & Dental Practices,,job-217,216
"Oncology Nursing Professional – Haematology, Oncology, Palliative Care",Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Vivantes Klinikum im Friedrichshain Landsberger Allee,Hospitals & Acute Care,2026-06-12,Full-time,,"Plans, delivers, and documents individualised patient care on haematology, oncology, and palliative care wards in accordance with nursing science standards, working closely with an interdisciplinary team of physicians and therapists. Provides sensitive accompaniment for patients in palliative situations and promotes patient dignity and autonomy.","Completed qualification as Pflegefachfrau/Pflegefachmann, Gesundheits- und Krankenpfleger/in, Gesundheits- und Kinderkrankenpfleger/in, or Altenpfleger/in; ideally specialist further training in oncology and/or palliative care; passion for the field; ability to work in an interdisciplinary team.",Structured onboarding; attractive pay under TVöD collective agreement; occupational pension (VBL); option for subsidised private pension; CNE digital continuing education platform; good transport links; staff parking; occupational health programmes.,On-site,https://www.stepstone.de/stellenangebote--Onkologische-Pflegefachkraft-Haematologie-Onkologie-Palliativmedizin-Berlin-Friedrichshain-Vivantes-Klinikum-im-Friedrichshain-Landsberger-Allee--14146684-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"EG P9 TVöD, bei abgeschlossener Fachweiterbildung Onkologische Pflege – je nach Qualifikation Einsatzort: Vivantes Klinikum im Friedrichshain Bereich: Klinik für Hämatologie | innen und Angehörige in belastenden Lebensphasen Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | tzung für Patient*innen und Angehörige in belastenden Lebensphasen • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/vivantes-klinikum-im-friedrichshain-landsberger-allee-83295/jobs,job-218,217
Sterilisation Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Full-time,,"Responsible for the professional cleaning, disinfection, and sterilisation of all dental instruments in accordance with hygiene guidelines, including control, documentation, preparation, and provision of instruments for the dental team. Also supports maintenance of sterilisation equipment and hygiene facilities.",Completed ZFA qualification or equivalent experience in dental instrument sterilisation; minimum German language level B2; recognised qualification in Germany required.,Top remuneration; flexible working hours; attractive additional benefits; modern yet family-oriented practice environment; work-life balance; individual development opportunities; network of over 40 Dental21 practices nationwide.,On-site,https://www.stepstone.de/stellenangebote--Sterilisationsassistenz-m-w-d-in-Festanstellung-Berlin-Dental21-Velbert--14069031-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"Du hast eine abgeschlossene Ausbildung als ZFA oder Erfahrung in der Sterilisation zahnmedizinischer Instrumente und m | Qualifikation: Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA, m/w/d)Hygienefortbildung im Bereic",,Medical & Dental Practices,,job-219,218
Medical Assistant – Trauma Surgery and Orthopaedics,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Vivantes Humboldt-Klinikum,Hospitals & Acute Care,2026-06-12,Full-time,,"Performs patient admission and provides assistance across outpatient clinics within the trauma surgery and orthopaedics department, including treatment assistance, administrative documentation, and scheduling patients for surgery. Also fulfils a cross-covering float function across multiple departmental units.",Completed MFA (Medizinische/r Fachangestellte/r) or Arzthelfer/in qualification; willingness to work staggered hours; proficiency in MS Office; knowledge of Agfa ORBIS advantageous; ideally English language skills; professional and patient-centred communication.,Structured onboarding; attractive pay under TVöD collective agreement; occupational pension (VBL); option for subsidised private pension; CNE digital continuing education platform; good transport links; occupational health programmes; staff benefits.,On-site,https://www.stepstone.de/stellenangebote--Medizinischer-Fachangestellter-MFA-Unfallchirurgie-und-Orthopaedie-Berlin-Reinickendorf-Vivantes-Humboldt-Klinikum--14070624-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,enzuläufe sowie Mitwirkung an qualitätssichernden Maßnahmen Das bringen Sie mit Abgeschlossene Ausbildung als Medizinische*r Fachangestellte*r (MFA) bzw | ration der Patientenzuläufe sowie Mitwirkung an qualitätssichernden Maßnahmen • Abgeschlossene Ausbildung als Medizinische*r Fachangestellte*r (MFA) bzw,,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/vivantes-humboldt-klinikum-82687/jobs,job-220,219
Dental Assistant (ZFA),Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Part-time,,"The role involves comprehensive patient care before, during, and after dental treatment, including assisting with procedures, digital documentation, X-rays, impressions, scans, and instrument sterilization. The position requires adherence to hygiene standards in a modern dental practice.","Completed ZFA training qualification recognized in Germany; minimum B2 German language level; ideally some professional experience, but career starters welcome; careful and structured working approach.","Flexible working hours; transparent and fair remuneration; free weekends and option for a 4-day week; travel allowance, JobRad, employee discounts; modern and family-friendly practice environment; personal development opportunities.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFA-m-w-d-in-Hannover-Suedstadt-Z037-Berlin-Dental21-Velbert--14076468-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,Hygienestandards Was bringst Du : Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) – zwingend erforderlich Idealerwei,,Medical & Dental Practices,,job-221,220
Dental Prophylaxis Assistant (ZMP),Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Full-time,,"The role focuses on independently performing prophylaxis treatments using the GBT concept (Guided Biofilm Therapy by EMS), advising patients on oral hygiene, caries and periodontal prevention, professional teeth cleaning, office bleaching, and building and managing an own patient base including recall organization.","Completed ZFA training plus ZMP or ZMF further qualification, or a dental hygienist degree — mandatory; experience in prophylaxis desirable but not required; patient-oriented working style; good IT skills; team spirit and personal responsibility.",Attractive remuneration and job security; modern technology and equipment; work-life balance; professional development opportunities; strong team culture; exclusive employee benefits.,On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Prophylaxeassistenz-ZMP-m-w-d-in-Berlin-Schoeneberg-Z066-Berlin-Dental21-Velbert--14073811-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"Qualifikation: Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) und Fortbildung zur ZMP, ZMF oder | Recall-Organisation • Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) und Fortbildung zur ZMP, ZMF oder",,Medical & Dental Practices,,job-222,221
Clinical Study Assistant / Medical Personnel,Health Professionals NEC (2269),2269,226,22,Health Professionals Not Elsewhere Classified,Berlin,Charité Research Organisation GmbH,Medical Services & Industry,2026-06-12,Part-time,,"The role involves caring for clinical study participants according to GCP standards, performing and documenting functional diagnostics (ECG, vital signs, lung function tests, EEG, blood draws), independently coordinating complex clinical studies, and supporting monitor visits, audits, and inspections.","Completed training as a registered nurse, MFA, MTA-F, MTR, or equivalent qualification; ideally practical experience in clinical trials; high quality awareness and organizational skills; cooperative and communicative; good German and English language skills.","Innovative and varied work in a motivated team; flexible working hours model; family-friendly scheduling; part-time from 30 hours/week possible; permanent contract; Saturday, Sunday, and public holiday supplements.",On-site,https://www.stepstone.de/stellenangebote--Studienassistenten-Medizinisches-Personal-w-m-d-Berlin-Charite-Research-Organisation-GmbH--14070586-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"internen und studienspezifischen Trainings Das wünschen wir uns von Ihnen: eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger/in, MFA, MTA-F, MTR oder vergleichbarer Aus | • Teilnahme an internen und studienspezifischen Trainings • eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger/in, MFA, MTA-F, MTR oder vergleichbarer Aus",,Other Healthcare Providers,https://www.stepstone.de/cmp/de/charit%c3%a9-research-organisation-gmbh-113573/jobs,job-223,222
Secretary / Medical Assistant in Patient Management - Visceral Surgery,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Vivantes Klinikum im Friedrichshain Landsberger Allee,Hospitals & Acute Care,2026-06-12,Full-time,,"The role involves coordinating outpatient appointments and pre-/post-inpatient processes, organizing diagnostic and therapeutic services, serving as the central contact for patients, and supporting oncological aftercare documentation and oncology center administration including findings management and meeting organization.","Completed commercial training with healthcare experience or completed MFA qualification; strong communication and organizational skills; friendly and reliable manner toward patients and referrers; proficiency in EDV systems such as Orbis, SAP, and MS Office.",Structured onboarding; attractive remuneration under TVöD collective agreement; company pension scheme (VBL); subsidized additional pension; digital continuing education platform (CNE); convenient transport links; corporate health programs; employee benefits.,On-site,https://www.stepstone.de/stellenangebote--Mitarbeiterin-Sekretariat-bzw-MFA-im-Patientinnenmanagement-Viszeralchirurgie-Berlin-Friedrichshain-Vivantes-Klinikum-im-Friedrichshain-Landsberger-Allee--14071646-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,abgeschlossene Ausbildung als Medizinische*r Fachangestellte*r (MFA) Ausgeprägte kommunikative und organi | abgeschlossene Ausbildung als Medizinische*r Fachangestellte*r (MFA),,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/vivantes-klinikum-im-friedrichshain-landsberger-allee-83295/jobs,job-224,223
Deputy Ward Manager,Health Services Managers (1342),1342,134,13,Health Service Managers,Berlin,Krankenhaus des Maßregelvollzugs Berlin,Rehabilitation & Mental Health,2026-06-12,Part-time,,"The role involves deputizing for the ward manager in organizing staff scheduling, shift and team planning, personnel development including onboarding and appraisals, instructing staff on operational guidelines, and overseeing patient-related nursing care planning and documentation.","State-recognized qualification as a registered nurse, geriatric nurse, or pediatric nurse; leadership experience or willingness to take on leadership responsibility; strong organizational and communication skills.",Meaningful work contributing to the quality of life of mentally ill and addiction patients; attractive allowances and supplements; collegial working environment.,On-site,https://www.stepstone.de/stellenangebote--Stellvertretender-Stationsleiter-Stellvertretende-Stationsleiterin-m-w-d-Berlin-Krankenhaus-des-Massregelvollzugs-Berlin--14068129-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,2026 Ihr Profil Formale Voraussetzungen: examinierte/r Gesundheits- und Krankenpfleger / Gesundheits- und Krankenpflegerin / Gesund | d Krankenpflegeperson (m/w/d) mit staatlicher Erlaubnis zur Berufsausübung oder examinierte/r Altenpfleger / Altenpflegerin / Altenpflegeperson (m/w/d) mit staatlicher Er | laubnis zur Berufsausübung oder examinierte/r Gesundheits- und Kinderkrankenpfleger / Gesundheits- und Kinderkrankenpflege,,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/krankenhaus-des-ma%c3%9fregelvollzugs-berlin-128726/jobs,job-225,224
Dental Assistant (ZFA),Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Full-time,,"The role involves comprehensive patient care and assistance during dental treatments, independently performing routine tasks including X-rays, impressions, and scans, and ensuring instrument sterilization and hygiene standards in a modern dental practice.","Completed ZFA training qualification mandatory; ideally some professional experience, but career starters welcome; careful, structured, and responsible working approach; friendly and empathetic manner; motivation for professional development.","Flexible working hours; transparent and fair remuneration; free weekends with option for a 4-day week; travel allowance, JobRad, and employee discounts on technology, travel, and fashion; modern and family-friendly practice atmosphere; personal development support.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFA-m-w-d-in-Ulm-Wengengasse-Z024-Berlin-Dental21-Velbert--14073961-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,ntwortlich für die Aufbereitung der Ihr Profil Das sind wir: Hygienestandards : Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) h Idealerweise erste Berufserfahru | • Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) h,,Medical & Dental Practices,,job-226,225
Dental Prophylaxis Assistant (ZMP),Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Full-time,,"The role focuses on independently performing prophylaxis treatments using the GBT concept (Guided Biofilm Therapy by EMS), advising patients on oral hygiene and caries and periodontal prevention, professional teeth cleaning, office bleaching, and building and managing an own patient base including recall organization.","Completed ZFA training plus ZMP or ZMF further qualification, or a dental hygienist degree — mandatory; experience in prophylaxis desirable but not required; patient-oriented working style; good IT skills; team spirit and personal responsibility.",Attractive remuneration and job security; modern technology and equipment; work-life balance; professional development opportunities; strong team culture; exclusive employee benefits.,On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Prophylaxeassistenz-ZMP-m-w-d-in-Muenchen-Olympiapark-Z029-Berlin-Dental21-Velbert--14076076-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"Qualifikation: Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) und Fortbildung zur ZMP, ZMF oder | Recall-Organisation • Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) und Fortbildung zur ZMP, ZMF oder",,Medical & Dental Practices,,job-227,226
Dental Prophylaxis Assistant (ZMP),Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Full-time,,"The role focuses on independently performing prophylaxis treatments using the GBT concept (Guided Biofilm Therapy by EMS), advising patients on oral hygiene and caries and periodontal prevention, professional teeth cleaning, office bleaching, and building and managing an own patient base including recall organization.","Completed ZFA training plus ZMP or ZMF further qualification, or a dental hygienist degree — mandatory; experience in prophylaxis desirable but not required; patient-oriented working style; good IT skills; team spirit and personal responsibility.",Attractive remuneration and job security; modern technology and equipment; work-life balance; professional development opportunities; strong team culture; exclusive employee benefits.,On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Prophylaxeassistenz-ZMP-m-w-d-in-Stuttgart-Rotebuehlplatz-Z006-Berlin-Dental21-Velbert--14073881-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"Qualifikation: Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) und Fortbildung zur ZMP, ZMF oder | Recall-Organisation • Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) und Fortbildung zur ZMP, ZMF oder",,Medical & Dental Practices,,job-228,227
Registered Nurse / Nursing Professional,Home-Based Personal Care Workers (5322),5322,532,53,Home-based Personal Care Workers,Not specified,Heidacare GmbH,Outpatient & Ambulatory Care,2026-06-12,Full-time,,"The role involves providing basic and treatment nursing care in patients' home environments, nursing documentation, communication with relatives and physicians, and supporting patients with daily activities, with assignments within a maximum of one hour from the employee's place of residence.","Qualified and state-examined nursing professional or registered nurse; driving licence class B advantageous but not mandatory; sense of responsibility, empathy, and team spirit; enjoyment of independent work.",Part-time and full-time positions available in Berlin and Brandenburg.,On-site,https://www.stepstone.de/stellenangebote--Krankenschwester-Pflegefachkraft-m-w-d-Mittenwalde-Heidacare-GmbH--14068969-inline.html,HEALTHCARE,Mittenwalde,2026-06-19,,,,,rstärkung unseres Teams suchen wir ab sofort eine engagierte Krankenschwester / examinierte Pflegefachkraft (m/w/d) in Vollzeit | Ihr Profil: Examinierte Pflegefachkraft / Krankenschwester (m/w/d) Führerschein Klasse B ist von Vorte | • Examinierte Pflegefachkraft / Krankenschwester (m/w/d),,Other Healthcare Providers,,job-229,228
Dental Prophylaxis Assistant (ZMP) - Mini-Job or Part-Time,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Part-time,,"The role involves independently performing prophylaxis treatments using the GBT concept, advising patients on oral hygiene, caries and periodontal prevention and aligner care, conducting professional teeth cleaning and other delegable services, and performing digital documentation.","Completed ZFA training with ZMP or ZMF further qualification, or dental hygienist degree mandatory; minimum B2 German language level; ideally some prophylaxis experience; patient-oriented and careful working style.","Attractive mini-job remuneration; modern technical equipment including Air-Flow system, digital X-ray, and ClearCorrect; flexible deployment planning including half-days or 1-2 fixed days per week; collegial team environment.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Prophylaxeassistenz-ZMP-m-w-d-Minijob-oder-Teilzeit-10-Std-15-Std-Woche-Berlin-Dental21-Velbert--14073763-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"Praxissoftware : Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) mit Fortbildung zur ZMP, ZMF oder",,Medical & Dental Practices,,job-230,229
Dental Assistant (Reception),Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Full-time,,"Dental assistant working primarily at reception, responsible for patient greeting, appointment coordination, scheduling follow-up and recall appointments, and operating digital practice management software.",Completed ZFA (dental assistant) training required; prior reception or patient-facing experience desirable; professional and friendly manner; structured and independent working style.,"Competitive pay, flexible working hours, attractive additional benefits, modern practice with a friendly team atmosphere, work-life balance, individual professional development, and access to a network of over 40 Dental21 practices nationwide.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFAm-w-d-fuer-den-Empfang-in-Berlin-Friedrichshain-Z051-Berlin-Dental21-Velbert--14073781-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,abgeschlossene Ausbildung als ZFA ne und möchtest dei Stärken am Empfang ne einbringe n? Dann werde Teil | Qualifikation: Abgeschlossene AusbildungZahnmedizinische Fachangestellte (ZFA) – zwingend erforderlich Erste Erfahrung i | isation von Folge- und Recall-TerminenTerminierung von Heil- und Kostenplänen • Abgeschlossene AusbildungZahnmedizinische Fachangestellte (ZFA) – zwingend erforderlich,,Medical & Dental Practices,,job-231,230
Dental Prophylaxis Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Casa Dentalis GmbH,Outpatient & Ambulatory Care,2026-06-12,Part-time,,"Works independently in the prophylaxis department, advising patients on caries and periodontal prophylaxis, handling service documentation, and ensuring compliance with hygiene standards and quality management tasks.",Completed ZFA training required; radiation protection knowledge with a current X-ray certificate; team-oriented with social competence and a friendly demeanour.,"Above-tariff pay, multiple practice locations, modern digitised practice environment with a broad treatment spectrum, and a young dynamic team with a family-like culture.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Prophylaxeassistentin-m-w-d-in-Berlin-Berlin-Casa-Dentalis-GmbH--14075147-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,Voraussetzungen: Sie haben eine erfolgreich abgeschlossene Ausbildung zum/zur Zahnmedizinischen Fachangestellten | • Sie haben eine erfolgreich abgeschlossene Ausbildung zum/zur Zahnmedizinischen Fachangestellten,,Medical & Dental Practices,,job-232,231
Dental Prophylaxis Assistant (ZMP) - Saturday Mini-Job,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Part-time,,"Independently performs prophylaxis treatments following the GBT concept, advises patients on oral hygiene and caries or periodontal prevention, carries out professional dental cleanings, and handles digital documentation.","Completed ZFA training with ZMP, ZMF or dental hygienist qualification required; German language level B2 minimum; prior prophylaxis experience desirable; patient-oriented and careful working approach.","Attractive mini-job compensation, modern equipment including Air-Flow system and digital X-ray, flexible scheduling with half-days or fixed days per week, collegial team culture.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Prophylaxeassistenz-ZMP-m-w-d-Samstags-Minijob-Berlin-Dental21-Velbert--14073777-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"Praxissoftware : Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) mit Fortbildung zur ZMP, ZMF oder",,Medical & Dental Practices,,job-233,232
Dental Assistant (ZFA),Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Full-time,,"Provides full patient care before, during, and after dental treatments; assists with dental procedures; independently performs routine tasks such as X-rays, impressions, and scans; responsible for instrument reprocessing and hygiene standards.","Completed ZFA training required; prior professional experience welcome but motivated entry-level applicants also considered; careful, structured, and responsible working style; friendly and empathetic manner.","Flexible working hours, transparent and fair pay, free weekends and option for a 4-day week, travel cost allowance, JobRad cycling scheme, employee discounts on technology, travel, and fashion.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFA-m-w-d-in-Berlin-Pankow-Z062-Berlin-Dental21-Velbert--14074036-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,ntwortlich für die Aufbereitung der Ihr Profil Das sind wir: Hygienestandards : Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) h Idealerweise erste Berufserfahru | • Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) h,,Medical & Dental Practices,,job-234,233
Medical Assistant (MFA),Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Dr. med. Christoph Söllenböhmer Gastroenterologie im Westend,Outpatient & Ambulatory Care,2026-06-12,Full-time,,"Responsible for patient reception and care, assisting with gastroenterological examinations, organising and managing patient data, and supporting the physician in daily practice operations.",Completed MFA training required; experience in a gastroenterology practice an advantage; professional and friendly manner; team-oriented with good organisational skills.,"Secure position in a dynamic and friendly team, fair pay with development opportunities, regular continuing education, and a modern well-equipped practice.",On-site,https://www.stepstone.de/stellenangebote--Medizinische-Fachangestellte-MFA-m-w-d-Berlin-Dr-med-Christoph-Soellenboehmer-Gastroenterologie-im-Westend--14074324-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,suchungen und Behandlungen Unterstützung des Arztes im Praxisalltag Ihr Profil: Abgeschlossene Ausbildung als Medizinische/r Fachangestellte/r (MFA) Erfahrung in einer gastroenterologis | • Unterstützung des Arztes im Praxisalltag • Abgeschlossene Ausbildung als Medizinische/r Fachangestellte/r (MFA),,Medical & Dental Practices,,job-235,234
Advanced Practice Nurse - Orthopaedics and Trauma Surgery,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Vivantes Klinikum im Friedrichshain Landsberger Allee,Hospitals & Acute Care,2026-06-12,Part-time,,"Advanced Practice Nurse conducting complex clinical assessments, developing and implementing evidence-based care concepts, educating patients on self-management, guiding nursing teams, and contributing to interprofessional projects in orthopaedics and trauma surgery.",Completed nursing training plus a bachelor's or ideally master's degree in nursing or health sciences; several years of clinical nursing experience; experience in project management; advanced clinical decision-making skills.,"Structured onboarding, attractive TVöD-based pay, occupational pension (VBL), subsidised additional pension, digital CNE continuing education platform, good transport links, and staff parking.",On-site,https://www.stepstone.de/stellenangebote--Advanced-Practice-Nurse-APN-Pflegeexpertin-Orthopaedie-und-Unfallchirurgie-Berlin-Friedrichshain-Vivantes-Klinikum-im-Friedrichshain-Landsberger-Allee--14070583-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"t Arbeitszeit: 38,5 Wochenstunden, Teilzeit möglich Entgelt: nach TVöD, je nach Qualifikation und konkreter Tätigkeit Einsatzort: Vivantes Klinikum im Friedrichshain Bereich | Schnittstellenfunktion zum Qualitätsmanagement Das bringen Sie mit Erfolgreich abgeschlossene Ausbildung in der Gesundheits- und Krankenpflege sowie Studienabschluss als Bachelor oder | idealerweise Master mit pflege- oder gesundheitswissenschaftlichem Profil Akademisches Fachwissen z",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/vivantes-klinikum-im-friedrichshain-landsberger-allee-83295/jobs,job-236,235
Dental Prophylaxis Assistant (ZMP),Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Full-time,,"Independently performs GBT prophylaxis treatments, advises patients on oral hygiene and caries or periodontal prevention, carries out professional cleanings and office bleaching, manages digital documentation, and builds and maintains a personal patient recall list.","Completed ZFA training with ZMP, ZMF or dental hygienist qualification mandatory; prophylaxis experience desirable; patient-oriented and careful working style; good IT skills; team spirit and initiative.","Attractive pay and job security, modern technical equipment, work-life balance, professional development opportunities, positive team culture, and exclusive employee perks.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Prophylaxeassistenz-ZMP-m-w-d-in-Berlin-Marzahn-Z065-Berlin-Dental21-Velbert--14073805-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"Qualifikation: Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) und Fortbildung zur ZMP, ZMF oder | Recall-Organisation • Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) und Fortbildung zur ZMP, ZMF oder",,Medical & Dental Practices,,job-237,236
Dental Assistant (ZFA),Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dental21 Velbert,Outpatient & Ambulatory Care,2026-06-12,Part-time,,"Provides comprehensive patient care before, during, and after dental treatment; assists and digitally documents dental procedures; independently performs X-rays, impressions, and scans; responsible for instrument reprocessing and hygiene compliance.","Completed ZFA training required; prior experience welcome but entry-level applicants considered; careful, structured, and responsible working style; friendly and empathetic patient manner; good IT skills.","Flexible part-time or full-time hours, transparent and fair pay, free weekends with option for a 4-day week, travel cost allowance, and further attractive benefits.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFA-fuer-verschiedene-Standorte-in-Frankfurt-m-w-d-in-Frankfurt-Hauptwache-Z001-Berlin-Dental21-Velbert--14076292-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,lich für die Aufbereitung der Instrumente und die Einhaltung Hygienestandards : Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) – zwingend erforderlich Idealerwei | u bist verantwortlich für die Aufbereitung der Instrumente und die Einhaltung : Abgeschlossene Ausbildung zur Zahnmedizinischen Fachangestellten (ZFA) – zwingend erforderlich Idealerwei,,Medical & Dental Practices,,job-238,237
